Gene Name_KY,Meaning_KY,Clone used for ISH,KY gene model,Old Name_KY
Foxn2/3, forkhead box n2/3,citb002p24,KY21.Chr3.356,FoxN2/3
Foxo, forkhead box o ,cibd017j13,KY21.Chr6.632,FoxO
Foxp, forkhead box p // Ci-ZF255,cilv032h17,KY21.Chr7.480,FoxP // Ci-ZF255
Foxq, forkhead box q ,ciad036o10,KY21.Chr3.311,FoxQ
Foxtun1, Tunicate fox 1,cicl053p06,KY21.Chr14.596,Orphan Fox-1
Foxtun2, Tunicate fox 2,cinc007f05,KY21.Chr14.884,Orphan Fox-2
Foxtun3, Tunicate fox 3,not analyzed,KY21.Chr10.680,Orphan Fox-3
Foxtun4 , Tunicate fox 4   // Ci-ZF248,ciad018o17,KY21.Chr5.385,Orphan Fox-4 // Ci-ZF248
Foxtun5, Tunicate fox 5,grail.124.16.1,KY21.Chr12.979,Orphan Fox-5
Gabpa, GA binding protein transcription factor subunit alpha,cign073a03,KY21.Chr2.750,GABPalpha
Gata.a, GATA binding protein.a ,ciad014g02,KY21.Chr6.630,GATA-a // Ci-ZF238
Gata.b, GATA binding protein.b ,cign041j20,KY21.Chr4.1192,GATA-b // Ci-ZF261
Gli, GLI family zinc finger ,cilv040n16,KY21.Chr7.445,Gli // Ci-ZF274
Gsc, goosecoid homeobox,ciad056k04,KY21.Chr4.538,
Gsx, Gs homeobox ,citb029c24,KY21.Chr2.996,
Hand, heart and neural crest derivatives expressed,grail.67.62.1,KY21.Chr14.326,
Hand-r, heart and neural crest derivatives expressed-related,citb018l16,KY21.Chr1.1701,NoTrlc
Hes.a, hes family bHLH transcription factor.a,citb007o19,KY21.Chr1.29,Espl/hairy-a
Hes.b, hes family bHLH transcription factor.b,ciad039g19,KY21.Chr3.564,Espl/hairy-b
Hes.c, hes family bHLH transcription factor.c,ciad033g10,KY21.Chr1.891,Espl/hairy-c
Hey, hes related family bHLH transcription factor with YRPW motif ,ciad073f15,KY21.Chr10.1172,
Hhex, hematopoietically expressed homeobox ,ciad050j19,KY21.Chr1.839,Hex
Hif1a/Epas1, hypoxia inducible factor 1 subunit alpha/endothelial PAS domain protein 1,ciad014n02,KY21.Chr4.445,
Hlx, H2.0 like homeobox,ciad006c05,KY21.Chr11.984,
Hmbox1-r, homeobox containing 1-related ,genewise.155.43.1,KY21.Chr1.529,FLJ21616-related
Hmg20, high mobility group 20,cicl052o06,KY21.Chr1.78,
Hmgb1/2, high mobility group box 1/2,citb006k16,KY21.Chr14.627,
Hmgtun1, Tunicate Hmg 1,cits034c03,KY21.Chr12.823,Orphan HMG-1
Hmgtun2, Tunicate Hmg 2,cicl045f24,KY21.Chr5.1063,Orphan HMG-2
Hmgtun3, Tunicate Hmg 3,ciht024j17,NA,Orphan HMG-3
Hmgxb4, HMG-box containing 4,cigd014m12,KY21.Chr8.594,HMG2-like
Hmx, H6 family homeobox,not analyzed,KY21.Chr8.1318,NK5
Hnf1, Hnf1 homeobox ,grail.51.5.1,KY21.Chr12.643,
Hnf4, hepatocyte nuclear factor ,ciad047g04,KY21.Chr3.834,Ci-ZF214
Hox1, homeobox A1/B1/D1 ,citb014p24,KY21.Chr1.841,
Hox10, homeobox A10/C10/D10,cilv005f20,KY21.Chr1.2189,
Hox12, homeobox A12/C12/D12 ,cilv047h06,KY21.Chr7.709,
Hox13, HoxA13/B13/C13/D13 ,cieg043n10,KY21.Chr7.708,
Hox2, homeobox A2/B2,not analyzed,KY21.Chr1.2090,
Hox3, homeobox A3/B3/D3 ,ciad065p10,KY21.Chr1.2091,
Hox4, homeobox A4/B4/C4/D4 ,ciad029a11,KY21.Chr1.2093,
Hox5, homeobox A5/B5/C5 ,not analyzed,KY21.Chr1.2230,
Hox6, homeobox A6/B6/C6,not analyzed,KY21.Chr1.2231,
Id.a, inhibitor of DNA binding.a,cicl010f24,KY21.Chr7.1126,Emc
Id.b, inhibitor of DNA binding.b,not analyzed,KY21.Chr7.1129,Emc2
Irf1/2, interferon regulatory factor 1/2,not analyzed,KY21.Chr14.361,
Irf-r.a, interferon regulatory factor related.a ,cicl027c03,KY21.Chr14.374,IRF-like-2
Irf-r.b, interferon regulatory factor related.b,cilv026j10,KY21.Chr12.9,IRF-like-3
Irf-r.c, interferon regulatory factor related.c,ciad060a06,KY21.Chr12.1074,IRF-like-4
Irf-r.d, interferon regulatory factor related.d,cicl004j18,KY21.Chr3.995,IRF-like-5
Irf-r.e, interferon regulatory factor related.e,cieg034e14,KY21.Chr11.359,IRF-like-6
Irf-r.f, interferon regulatory factor related.f,citbx00618,KY21.Chr3.1349,IRF-like-7
Irf-r.g, interferon regulatory factor related.g,cicl056j08,KY21.Chr3.1347,IRF-like-8
Irx.a, iroquois homeobox.a,ciad074p13,KY21.Chr11.341,Irx-A
Irx.b, iroquois homeobox.b,cicl053f03,KY21.Chr11.345,Irx-B
Irx.c, iroquois homeobox.c,citb016c09,KY21.Chr3.1380,Irx-C
Irx.d, iroquois homeobox.d,not analyzed,KY21.Chr3.1375,Irx-D
Isl, ISL LIM homeobox,ciad008c12,KY21.Chr4.1164,
Jun, Jun transcription factor family,cilv014f12,KY21.Chr5.540,
Kmt2c-r, lysine methyltransferase 2C related,ciad006p06,KY21.Chr6.700,ALR-like
Lbx,,not analyzed,NA,
Lhx1, LIM homeobox 1,cilv076a07,KY21.Chr11.1275,
Lhx2/9, LIM homeobox 2/9,not analyzed,KY21.Chr9.240,
Lhx3/4, LIM homeobox 3/4 ,cilv006c13,KY21.Chr13.457,Lhx3
Lmx1, LIM homeobox transcription factor 1,citb030f24,KY21.Chr9.606,Lmx
Lmx1-r, LIM homeobox transcription factor 1-related ,genewise.89.84.1,KY21.Chr9.611,Lmx-like
Maf/a/b, MAF bZIP transcription factor/a/b ,cibd084h04,KY21.Chr12.541,large Maf
Maff/g/k, MAF bZIP transcription factor f/g/k ,ciad026l18,KY21.Chr12.543,small Maf
Max, MYC associated factor X,ciad014g22,KY21.Chr5.118,
Mef2, myocyte enhancer factor,cieg033j06,KY21.Chr10.14,
Meis, Meis homeobox ,citb035l22,KY21.Chr10.644,
Meox, mesenchyme homeobox ,citb064a19,KY21.Chr8.1007,Mox
Mesp, mesoderm posterior bHLH transcription factor,cicl045n09,KY21.Chr3.978,
Mitf, melanocyte inducing transcription factor,cilv041b12,KY21.Chr10.578,
Mlx, MAX dimerization protein MLX,cieg054i21,KY21.Chr11.474,
Mnt-r, MAX network transcriptional repressor-related,cieg011p17,KY21.Chr6.613,Mnt-like
Mnx, motor neuron and pancreas homeobox ,cign044b23,KY21.Chr10.362,
Mrf, Myogenic regulatory factor,cicl007n20,KY21.Chr14.750,MyoD
Msx, msh homeobox ,cign067l18,KY21.Chr2.1031,msxb
Mxd, Max dimerization protein,ciad014i17,KY21.Chr1.459,
Myc," MYC proto-oncogene, bHLH transcription factor",cieg017l16,KY21.Chr1.384,
Myt1, myelin transcription factor 1 // Ci-ZF223,citb040p06,KY21.Chr1.1192,
Neurog, Neurogenin,citb008o08,KY21.Chr6.434,
Nfat5, nuclear factor of activated T cells 5,grail.128.36.1,KY21.Chr3.904,
Nfe2," nuclear factor, erythroid 2",cicl015m17,KY21.Chr1.790,NF-E2
Nfi, Nucelar factor i,ciht020d21,KY21.Chr5.329,NF1a/b/c
Nfil3," nuclear factor, interleukin 3 regulated ",not analyzed,KY21.Chr5.629,NF-IL2
Nfkb, nuclear factor kappa B ,ciad037k20,KY21.Chr7.418,
Nfrkb, nuclear factor related to kappaB binding protein,cieg016c06,KY21.UAContig35.3,
Nfya, nuclear transcription factor Y subunit alpha,cicl044p17,KY21.Chr4.1093,
Nfyb, {uclear transcription factor Y subunit beta // Ci-ZF272,cieg017j07,KY21.Chr4.1093,
Nkx2-1/4, NK2 homeobox 1/4,ciad042d09,KY21.Chr10.704,TTF1
Nkx2-3/5/6, NK2 homeobox 3/5/6 ,citb005h13,KY21.Chr8.898,NK4
Nkx6, NK6 homeobox,citb003b08,KY21.Chr5.29,NK6
Nkxtun1, Tuniate Nkx 1 ,cicl048p22,KY21.Chr12.92,Nkx-A
Nkxtun2, Tuniate Nkx 2 ,not analyzed,KY21.Chr8.959,Nkx-B
Nkxtun3, Tuniate Nkx 3 ,citb089b03,KY21.Chr1.162,Nkx-C
Noto, notochord homeobox ,not analyzed,KY21.Chr5.1104,Not
Npas1/3, neuronal PAS domain protein 1/3,citb035h10,KY21.Chr11.676,Trh
Nr1d, nuclear receptor subfamily 1 group d,cilv001k03,KY21.Chr13.291,Rev-Erb // Ci-ZF267
Nr1h2/3, nuclear receptor subfamily 1 group H member2/3,cibd072k06,KY21.Chr2.1087,LXR // Ci-ZF215
Nr1h4, nuclear receptor subfamily 1 group H member 4,citb033o05,KY21.Chr2.908,FXR // Ci-ZF257
Nr2c, nuclear receptor subfamily 2 group C ,cieg057j21,KY21.Chr8.532,TR2/4 // Ci-ZF239
Nr2e, nuclear receptor subfamily 2 group E,genewise.412.43.1,KY21.Chr6.669,Tailless-like // Ci-ZF246
Nr2f, nuclear receptor subfamily 2 group F,citb005p21,KY21.Chr8.1369,COUP // Ci-ZF211
Nr4a, nuclear receptor subfamily 4 group A,ciad045m15,KY21.Chr9.660,NR41/42/43 // Ci-ZF242
Nr5a, nuclear receptor subfamily 5 group A,cits041n17,KY21.Chr6.232,FTZF // Ci-ZF222
Nr6a, nuclear receptor subfamily 6 group A,cign062a04,KY21.Chr1.1063,GCNF // Ci-ZF262
Onecut, one cut homeobox,not analyzed,KY21.Chr6.231,Old Name : HNF6
Otp, orthopedia homeobox ,cicl017a08,KY21.Chr14.647,
Otx, orthodenticle homeobox ,cicl045e03,KY21.Chr4.720,
Pax1/9, Paired box 1/9,ciad098l14,KY21.Chr11.1256,
Pax2/5/8.a, Paired box 2/5/8.a ,ciad005j09,KY21.Chr6.690,Pax2/5/8-A
Pax2/5/8.b, Paired box 2/5/8.b,cicl054o20,KY21.Chr12.452,Pax2/5/8-B
Pax3/7, Paired box 3/7,not analyzed,KY21.Chr10.288,
Pax3/7-r, Paired box 3/7-related ,genewise.48.64.1,KY21.Chr4.408,Pax3/7-like
Pax6, Paired box 6 ,cilv050b12,KY21.Chr9.1050,
Pbrm1, polybromo 1,citb014e18,KY21.Chr7.479,
Pbx, Pbx homeobox,cilv008a08,KY21.Chr13.452,
Pdx, pancreatic and duodenal homeobox 1,citb044p22,KY21.Chr14.616,IPF1
Phox2, paired like homeobox 2,not analyzed,KY21.Chr14.160,Arix/Phox-2
Pitx, paired like homeodomain,citb012n01,KY21.Chr6.180,
Pknox, PBX/knotted 1 homeobox ,cieg009j24,KY21.Chr11.917,Prep
Pou2f, Pou class 2 homeobox,cieg042p24,KY21.Chr4.253,POU2
Pou4f, Pou class 4 homeobox ,citb034g05,KY21.Chr2.456,POU4
Pou-r, Pou class-related,cieg024l04,KY21.Chr7.494,POU-like
Ppar, peroxisome proliferator activated receptor,citb037p19,KY21.Chr8.983,PPAR // Ci-ZF253
Prdm1-r.a, PR/SET domain 1-related.a,To Be Updated,KY21.Chr12.997,BZ1 Blimp-like Zinc finger 1
Prdm1-r.b, PR/SET domain 1-related.b,cibd072m12,KY21.Chr12.994,BZ2 Blimp-like Zinc finger 2 // Ci-ZF012
Prdm1-r.c, PR/SET domain 1-related.c,To Be Updated,KY21.Chr12.992,
Prdtun1, Tunicate Paired class 1 ,grail.290.11.1,KY21.Chr11.105,Old Name Prd-A
Prdtun2, Tunicate Paired class 2,cicl004k05,KY21.Chr1.1238,Old Name Prd-B
Prop, PROP paired-like homeobox ,citb047e24,KY21.Chr11.1031,
Prox.a, prospero homeobox.a ,not analyzed,KY21.Chr4.64,Prox-A
Prox.b, prospero homeobox.b,cieg044k24,KY21.Chr4.66,Prox-B
Prrx, paired related homeobox 2,ciad014c24,KY21.Chr1.219,Prx
Ptf1a, pancreas associated transcription factor 1a,not analyzed,KY21.Chr3.511,Ptfa
Ptf1a-r, pancreas associated transcription factor 1a-related,cilv050i16,KY21.Chr11.539,Ptfb
Pura/b/g, purine rich element binding protein A/B/G,ciad009e19,KY21.Chr12.906,
Rar, retinoic acid receptor,citb035d16,KY21.Chr9.707,RAR // Ci-ZF218
Rax, retina and anterior neural fold homeobox ,not analyzed,KY21.Chr12.306,Rx
Rbpj, recombination signal binding protein for immunoglobulin kappa J region,citb043k14,KY21.Chr2.360,SuH/RBP-J
Rbpjl, recombination signal binding protein for immunoglobulin kappa J region like,not analyzed,KY21.Chr12.833,RBP-L
RelA," RELA proto-oncogene, NF-kB subunit",cieg022h11,KY21.Chr11.1005,
Rfx1/2/3, regulatory factor X1/2/3 ,cicl049p01,KY21.Chr5.758,
Ror, RAR related orphan receptor,cilv010m12,KY21.Chr3.203,ROR // Ci-ZF225
Rxr, retinoid X receptor,citb010c11,KY21.Chr9.292,RXR // Ci-ZF244
Shox, short stature homeobox,genewise.401.79.1,KY21.Chr1.2249,
Sim, Sim bHLH transcription factor,not analyzed,KY21.Chr6.623,
Six1/2, Six homeobox1/2 ,ciad046p13,KY21.Chr3.541,
Six3/6, Six homeobox3/6 ,cicl021e08,KY21.Chr10.262,
Six4/5, Six homeobox4/5,cieg058l18,KY21.Chr3.1131,
Smad1/5/9, Smad family member 1/5/9,cicl016e21,KY21.Chr2.623,Smad1/5
Smad2/3.a, Smad family member 2/3.a,cieg004p14,KY21.Chr6.524,Smad2/3a
Smad2/3.b, Smad family member 2/3.b,cieg050i11,KY21.Chr12.68,Smad2/3b
Smad4, Smad family member 4,cieg009m10,KY21.Chr6.351,Smad4
Smad6/7, Smad family member 6/7,ciad037n07,KY21.Chr3.1198,Smad6/7
Smarce1," SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",cies001f23,KY21.Chr10.863,
Smyd1, SET and MYND domain containing 1 // Ci-ZF438,citb009d08,KY21.Chr6.597,
Snai, snail family transcriptional repressor ,cibd020p17,KY21.Chr3.1356,Snail // Ci-ZF224
Sox1/2/3, SRY-box 1/2/3 ,ciad002g15,KY21.Chr1.254,SoxB1
Sox14/15/21, SRY-box 14/15/21 ,ciad018l18,KY21.Chr1.1871,SoxB2
Sox30, SRY-box 30,not analyzed,KY21.Chr4.797,SoxH
Sox4/11/12, SRY-box 4/11/12 ,ciad009i05,KY21.Chr7.664,SoxC
Sox5/6/13, SRY-box 5/6/13,cibd064g10,KY21.Chr14.846,SoxD
Sox7/17/18, SRY-box 7/17/18 ,cilv035a19,KY21.Chr7.830,SoxF
Sox8/9/10, SRY-box 8/9/10,grailv1.226.9.1,KY21.Chr11.678,SoxE
Spdef, SAM pointed domain containing ETS transcription factor,genewise.755.30.1,KY21.Chr12.672,PDEF
Spi1/B/C, Spi-1/B/C transcription factor,ciad063p12,KY21.Chr6.542,Spi/Pu.1
Srebf, sterol regulatory element binding transcription factor // Srebp,ciad015j07,KY21.Chr9.7,Srebp
Srf, Serum response factor,ciad050a03,KY21.Chr11.1302,
Ssrp1,,citb001b07,KY21.Chr3.1066,
Stat.a, signal transducer and activator of transcription.a,cieg089k11,KY21.Chr3.154,
Stat.b, signal transducer and activator of transcription.b,cieg048p11,KY21.Chr1.2058,
T, Bra T brachyury transcription factor ,cicl050d03,KY21.Chr12.6,Brachyury
Tbx1/10, T-box transcription factor 1/10,AB073907,KY21.Chr7.572,Tbx1
Tbx15/18/22, T-box transcription factor 15/18/22 ,citb007n20,KY21.Chr9.119,VegTR
Tbx2/3, T-box transcription factor 2/3 ,cilv050c21,KY21.Chr4.947,
Tbx20, T-box transcription factor 20,not analyzed,KY21.Chr1.1044,
Tbx21/Tbr1/Eomes, T-box transcription factor/T-box brain transcription factor 1/eomesodermin,cieg057b14,KY21.Chr3.514,maternal T-box mT
Tbx6-r.a, T-box transcription factor 6 related.a ,cicl064c01,KY21.Chr11.458,Tbx6a
Tbx6-r.b, T-box transcription factor 6 related.b ,cicl007g16,KY21.Chr11.467,Tbx6b
Tbx6-r.c, T-box transcription factor 6 related.c ,cicl007g16,KY21.Chr11.466,Tbx6c
Tbx6-r.d, T-box transcription factor 6 related.d,cicl007g16,KY21.Chr11.465,Tbx6d
Tcf15-r, transcription factor 15-related,genewise.781.21.1,KY21.Chr11.71,paraxis-like
Tcf21, transcription factor 21,genewise.127.86.1,NA,MyoR
Tcf3, transcription factor 3,cieg027d13,KY21.Chr3.765,E12/E47
Tcf4, transcription factor 4,cieg023c15,KY21.Chr4.1005,
Tcf7, transcription factor 7,cicl049a12,KY21.Chr6.59,Tcf/Lef
Tead, TEA domain transcription factor,citb018h05,KY21.Chr14.532,
Tef/Hlf," TEF/Hlf transcription factor, PAR bZIP family member ",cibd010d05,KY21.Chr14.39,
Tfap2-r.a, transcription factor AP-2-related.a,cieg009n12,KY21.Chr1.1538,AP-2-like1
Tfap2-r.b, transcription factor AP-2-related.b ,cilv008i03,KY21.Chr7.1145,AP-2-like2
Tfap4, Transcription factor AP-4 ,cilv006k04,KY21.Chr14.633,
Tfdp1, transcription factor Dp-1,cieg019g24,KY21.Chr1.11,
Thr, thyroid hormone receptor,citb033n20,KY21.Chr11.1104,THR // Ci-ZF259
Tle.a," TLE family, transcriptional corepressor.a",ciad060d02,KY21.Chr4.907,Groucho1
Tle.b," TLE family, transcriptional corepressor.b",cibd054e08,KY21.Chr4.901,Groucho2
Tlx, T cell leukemia homeobox ,ciad069p16,KY21.Chr1.1108,
Tox, thymocyte selection associated high mobility group box,ciad005o22,KY21.Chr3.748,CAGF9
Tp53/73.a, tumor protein p53/73.a,cieg042c04,KY21.Chr1.1577,p53/p73-a
Tp53/73.b, tumor protein p53/73.b,cits031o11,KY21.Chr3.225,p53/p73-b
Tsc22d, Tsc22 domain family,cicl054n02,KY21.Chr7.836,
Twist-r.a, twist family bHLH transcription factor-related.a,cicl029j13,KY21.Chr5.361,TWIST-like-1a
Twist-r.b, twist family bHLH transcription factor-related.b,not analyzed,KY21.Chr5.360,TWIST-like-1b
Twist-r.c, twist family bHLH transcription factor-related.c,cicl020p07,KY21.Chr5.362,TWIST-like-2
Ubtf,,cicl008k20,KY21.Chr2.1127,
Unc.a, Unc homeobox.a,citb049b24,KY21.Chr5.104,Unc4-A
Unc.b, Unc homeobox.b ,ciad056b07,KY21.Chr11.887,Unc4-B
Usf, upstream transcription factor,ciad027a18,KY21.Chr3.1413,
Vdr.a, vitamin D receptor.a,cibd031e11,KY21.Chr2.1183,VDR-a // Ci-ZF235
Vdr.b, vitamin D receptor.b,not analyzed,KY21.Chr10.482,VDR-b // Ci-ZF141
Vps72, vacuolar protein sorting 72 homolog,cigd024l23,KY21.Chr3.15,TCFL1
Vsx, visual system homeobox,not analyzed,KY21.Chr11.1087,
Xbp1.a, X-box binding protein 1.a ,not analyzed,KY21.Chr4.606,xBPa
Xbp1.b, X-box binding protein 1.b ,ciad081e24,KY21.Chr10.920,xBPb
Xbp1.c, X-box binding protein 1.c ,citb038f23,KY21.Chr8.626,xBPc
Xbp1.d, X-box binding protein 1.d,cilv023l12,KY21.Chr8.1004,xBPd
Ybx, Y-box binding protein,ciad007o17,KY21.Chr1.619,
Zfhx3, zinc finger homeobox 3 ,not analyzed,KY21.Chr3.187,ATBF // Ci-ZF113 // CiZF-313 // Ci-ZF314
Zhx1-r, zinc fingers and homeoboxes 1-related,cieg011g02,KY21.Chr3.16,ZHX1-like
Zic-r.a, Zic family member.a ,cieg016n12,KY21.Chr1.1337,macho-1 // Ci-ZF254
Zic-r.b, Zic family member.b ,cicl002e04,KY21.Chr6.26,ZicL-3 // Ci-ZF283
Zic-r.c, Zic family member.c ,cicl002e04,KY21.Chr6.27,ZicL-4
Zic-r.d, Zic family member.d ,cicl002e04,KY21.Chr6.28,ZicL-5
Zic-r.e, Zic family member.e ,cicl002e04,KY21.Chr6.29,ZicL-1
