	gene	myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	human.homolog	ciona.name
17	KY21:KY21.Chr1.1153	0.767	0.878582519607565	0.534	1.72114280722403	0.809	0.579	17	CMYA5 / CYB5R2	
18	KY21:KY21.Chr1.1170	0.763	0.791347829188355	0.526	3.15824178872379	0.607	0.11	11	SCRIB	
19	KY21:KY21.Chr1.1170	0.822	0.992590188825887	0.644	3.67888492495035	0.714	0.109	14	SCRIB	
20	KY21:KY21.Chr1.1170	0.735	0.784532040369569	0.47	2.96292074049451	0.56	0.122	17	SCRIB	
21	KY21:KY21.Chr1.1181	0.762	0.909498128375943	0.524	2.09133039261842	0.807	0.544	11	SLC25A11	
22	KY21:KY21.Chr1.1187	0.822	0.845732599342119	0.644	2.48041720746273	0.78	0.192	11	GREB1L / GREB1	
23	KY21:KY21.Chr1.1187	0.702	0.155026810202365	0.404	0.606555056528158	0.635	0.198	13	GREB1L / GREB1	
24	KY21:KY21.Chr1.1187	0.854	0.955307312617805	0.708	2.70844116350527	0.833	0.193	14	GREB1L / GREB1	
25	KY21:KY21.Chr1.1187	0.886	1.26928768982752	0.772	3.39944848290203	0.861	0.193	15	GREB1L / GREB1	
26	KY21:KY21.Chr1.1187	0.859	1.32183634472075	0.718	3.36376267579672	0.808	0.205	17	GREB1L / GREB1	
27	KY21:KY21.Chr1.1192	0.728	0.562675454438769	0.456	1.80246445605967	0.566	0.105	15	MYT1L	Myt1
28	KY21:KY21.Chr1.1206	0.727	0.507029920537401	0.454	1.59056548742259	0.676	0.218	16	KLRD1	
29	KY21:KY21.Chr1.1215	0.721	0.845725798355375	0.442	1.97586897078664	0.698	0.347	20	COL4A6	
30	KY21:KY21.Chr1.1251	0.796	0.623328782531614	0.592	1.06184423080521	0.953	0.808	4	PLOD3	
31	KY21:KY21.Chr1.1251	0.937	1.54910850261835	0.874	2.55969748423438	0.991	0.807	5	PLOD3	
32	KY21:KY21.Chr1.1251	0.831	0.878470354113178	0.662	1.45781925348808	0.976	0.818	18	PLOD3	
33	KY21:KY21.Chr1.1251	0.756	0.5290166011629	0.512	0.897415535063363	0.953	0.82	20	PLOD3	
34	KY21:KY21.Chr1.1257	0.883	1.36324857031274	0.766	3.57521068436825	0.861	0.222	18	LAMA2	
35	KY21:KY21.Chr1.126	0.751	0.565322287281496	0.502	1.08886694272965	0.878	0.379	16	TDH	
36	KY21:KY21.Chr1.1297	0.799	0.845631010794491	0.598	1.30776278963495	0.997	0.704	1	DPY19L1	
37	KY21:KY21.Chr1.1297	0.718	0.477568948880944	0.436	0.74296377401468	0.995	0.709	2	DPY19L1	
38	KY21:KY21.Chr1.1297	0.818	0.903774879144435	0.636	1.39400097912915	0.992	0.711	3	DPY19L1	
39	KY21:KY21.Chr1.1297	0.726	0.601554050882837	0.452	0.931764532846524	0.966	0.72	6	DPY19L1	
40	KY21:KY21.Chr1.1297	0.712	0.52197563458102	0.424	0.809588506527631	0.976	0.723	7	DPY19L1	
41	KY21:KY21.Chr1.1297	0.821	0.856506989621954	0.642	1.31555317658264	0.999	0.728	16	DPY19L1	
42	KY21:KY21.Chr1.1314	0.714	0.651853685138996	0.428	2.28044361774509	0.623	0.297	19	CHEK1	
43	KY21:KY21.Chr1.1332	0.806	1.07482753495815	0.612	2.72482392975271	0.794	0.393	12	OSBPL8	
44	KY21:KY21.Chr1.1337	0.819	1.10414753049583	0.638	3.37473138506142	0.678	0.054	18	ZIC3	Zic-r.a
45	KY21:KY21.Chr1.1337	0.805	3.04604939407628	0.61	7.16569843341839	0.633	0.06	19	ZIC3	Zic-r.a
46	KY21:KY21.Chr1.1342	0.809	0.996549918558891	0.618	3.42743793134211	0.707	0.135	11	DUSP1	DUSP1.2.4.5
47	KY21:KY21.Chr1.138	0.922	1.5168645190324	0.844	3.13490626044385	0.95	0.126	11	ASRGL1	
48	KY21:KY21.Chr1.138	0.937	1.74642440832701	0.874	3.5347268495741	0.956	0.131	14	ASRGL1	
49	KY21:KY21.Chr1.138	0.876	1.49358647221032	0.752	3.06398825486689	0.86	0.135	15	ASRGL1	
50	KY21:KY21.Chr1.138	0.896	1.51932310030779	0.792	3.03275615140645	0.906	0.147	17	ASRGL1	
51	KY21:KY21.Chr1.1401	0.717	0.366586464817915	0.434	0.733163861734615	0.969	0.741	13	GNL3L	
52	KY21:KY21.Chr1.1407	0.78	0.816971823978433	0.56	1.4885068840515	0.93	0.768	8	CPTP	
53	KY21:KY21.Chr1.1410	0.753	0.676235474001956	0.506	1.58642037746184	0.825	0.553	5	SCHIP1	
54	KY21:KY21.Chr1.1410	0.715	0.596891445862911	0.43	1.39385158362116	0.79	0.564	12	SCHIP1	
55	KY21:KY21.Chr1.1414	0.71	0.314267076742144	0.42	0.91703144847084	0.827	0.417	16	SGPP2	
56	KY21:KY21.Chr1.1416	0.748	0.400870813057366	0.496	2.32816799206165	0.634	0.169	13	ZNF705B	Ci-ZF027
57	KY21:KY21.Chr1.1418	0.704	0.409336522758639	0.408	1.92044337408374	0.573	0.18	2	TMPRSS9	
58	KY21:KY21.Chr1.1418	0.783	0.428622685261268	0.566	1.84930896566035	0.766	0.199	16	TMPRSS9	
59	KY21:KY21.Chr1.142	0.724	0.657570408322512	0.448	2.5235774131268	0.605	0.24	19	NUP50	
60	KY21:KY21.Chr1.1432	0.957	2.04387731112925	0.914	3.91597741986999	0.957	0.57	19	NF2	
61	KY21:KY21.Chr1.1445	0.781	0.993386136782845	0.562	6.49445550529869	0.574	0.019	12	ADPRHL1	
62	KY21:KY21.Chr1.1446	0.792	0.975098685150826	0.584	2.65315071907481	0.737	0.245	5	HSD17B6	
63	KY21:KY21.Chr1.1446	0.804	0.858536915594629	0.608	2.27382474949613	0.774	0.261	11	HSD17B6	
64	KY21:KY21.Chr1.1446	0.738	0.501866680143572	0.476	1.45632498845301	0.709	0.266	14	HSD17B6	
65	KY21:KY21.Chr1.1446	0.788	0.901592693462831	0.576	2.29992902591821	0.743	0.274	17	HSD17B6	
66	KY21:KY21.Chr1.1456	0.728	0.668437611842239	0.456	1.7409223138081	0.705	0.474	19	GTF2F2	
67	KY21:KY21.Chr1.1458	0.745	0.37893982999555	0.49	1.13505987815016	0.852	0.385	16	NAT1	
68	KY21:KY21.Chr1.1460	0.808	1.30501043300231	0.616	2.69637581342236	0.851	0.48	20	SLC66A1	
69	KY21:KY21.Chr1.1462	0.714	0.624650112471576	0.428	0.998178209304759	0.971	0.917	12	FUCA1	
70	KY21:KY21.Chr1.1462	0.759	0.539045295819284	0.518	0.862537422449249	0.975	0.919	19	FUCA1	
71	KY21:KY21.Chr1.1467	0.845	2.57978929432501	0.69	8.90502329197013	0.698	0.021	5	PID1	
72	KY21:KY21.Chr1.147	0.819	1.3957722300649	0.638	6.88476075267446	0.652	0.032	5	SGIP1	
73	KY21:KY21.Chr1.1471	0.769	0.793544756546017	0.538	3.6003077461694	0.619	0.131	19	CTRB1	
74	KY21:KY21.Chr1.148	0.777	0.71937625182402	0.554	3.00421569835469	0.647	0.13	14	DUOX1	
75	KY21:KY21.Chr1.148	0.785	0.896490388883954	0.57	3.51105884975844	0.653	0.13	15	DUOX1	
76	KY21:KY21.Chr1.1498	0.853	2.04153837491829	0.706	5.31233590954545	0.754	0.122	11	TMED9	
77	KY21:KY21.Chr1.1500	0.785	1.17840724422872	0.57	4.27233180747303	0.642	0.142	11	KDM8	
78	KY21:KY21.Chr1.1501	0.915	2.63396218908801	0.83	5.95897463873968	0.856	0.079	11	KDM8	
79	KY21:KY21.Chr1.1501	0.723	0.934841854677357	0.446	2.11129307592699	0.541	0.103	17	KDM8	
80	KY21:KY21.Chr1.1502	0.831	1.81237171405936	0.662	5.30850629248289	0.715	0.117	11	KDM8	
81	KY21:KY21.Chr1.1518	0.738	0.55456897477569	0.476	1.01519459424949	0.936	0.786	19	UTP23	
82	KY21:KY21.Chr1.1525	0.714	0.641452898593499	0.428	1.68891927337594	0.735	0.465	5	MRPS6	
83	KY21:KY21.Chr1.1528	0.726	0.615522780192255	0.452	3.70787870479547	0.501	0.064	15	FGF4	Fgftun2
84	KY21:KY21.Chr1.1533	0.713	0.511821485756531	0.426	2.11762890954991	0.575	0.171	8	RGS19	
85	KY21:KY21.Chr1.1533	0.846	0.865136535692346	0.692	3.06623412212124	0.794	0.168	13	RGS19	
86	KY21:KY21.Chr1.1534	0.79	0.919501825955995	0.58	1.3657528848647	0.998	0.663	1	GFUS	
87	KY21:KY21.Chr1.1534	0.781	0.774237811351501	0.562	1.15039086554498	0.999	0.669	2	GFUS	
88	KY21:KY21.Chr1.1534	0.811	0.987053396214163	0.622	1.46433685624634	0.996	0.671	3	GFUS	
89	KY21:KY21.Chr1.1534	0.807	0.891020881594252	0.614	1.31980492658824	1	0.69	16	GFUS	
90	KY21:KY21.Chr1.1542	0.757	0.724252629080737	0.514	1.53293888748944	0.858	0.624	12	ARMC1	
91	KY21:KY21.Chr1.155	0.773	0.586049720652065	0.546	1.03149693463193	0.971	0.703	2	POGLUT2	
92	KY21:KY21.Chr1.155	0.771	1.31689692492708	0.542	2.21361240354783	0.948	0.718	9	POGLUT2	
93	KY21:KY21.Chr1.155	0.741	0.449779791360872	0.482	0.792587769866005	0.984	0.72	16	POGLUT2	
94	KY21:KY21.Chr1.1550	0.813	0.782900729201134	0.626	1.47005527294812	0.907	0.746	19	NDUFB8	
95	KY21:KY21.Chr1.1555	0.759	0.723483797733887	0.518	1.89481836440517	0.758	0.43	19	TSN	
96	KY21:KY21.Chr1.1566	0.976	2.15933851959816	0.952	4.00699311172806	0.982	0.596	19	HLA-DRA	
97	KY21:KY21.Chr1.1569	0.92	1.63159415329567	0.84	3.98538973581805	0.9	0.306	19	TLL2	
98	KY21:KY21.Chr1.1573	0.734	0.511805960755225	0.468	0.751683835797271	1	0.997	3	KRTCAP2	
99	KY21:KY21.Chr1.1573	0.707	0.347421377741646	0.414	0.510548711980286	1	0.997	16	KRTCAP2	
100	KY21:KY21.Chr1.1583	0.712	0.367815935174382	0.424	0.871217256185868	0.904	0.608	13	GTPBP4	
101	KY21:KY21.Chr1.1585	0.762	0.655463049496777	0.524	1.12294416223455	0.961	0.878	12	NACA4P	
102	KY21:KY21.Chr1.1594	0.721	0.520293063614628	0.442	1.10707590413865	0.781	0.326	16	ANKHD1	
103	KY21:KY21.Chr1.1595	0.714	0.594786123163666	0.428	1.04030541807398	0.898	0.569	2	KLHL20	
104	KY21:KY21.Chr1.1595	0.738	0.713928693447351	0.476	1.23972052353394	0.883	0.572	3	KLHL20	
105	KY21:KY21.Chr1.1595	0.782	0.725525118569427	0.564	1.24465513486769	0.982	0.588	16	KLHL20	
106	KY21:KY21.Chr1.1596	0.744	1.25726458550086	0.488	2.33389570044623	0.863	0.733	10	ANKMY2	
107	KY21:KY21.Chr1.1600	0.84	1.09313267257746	0.68	2.51470359606165	0.847	0.499	19	PSMA2	
108	KY21:KY21.Chr1.1601	0.877	1.81279982291695	0.754	5.5375944771093	0.789	0.093	12	ACTC1	Acta.d
109	KY21:KY21.Chr1.1608	0.728	0.385051222691218	0.456	0.803870230791089	0.972	0.706	13	IMPDH2	
110	KY21:KY21.Chr1.162	0.74	0.799713162903889	0.48	4.54246196119006	0.508	0.037	6	BARHL1	Nkxtun3
111	KY21:KY21.Chr1.1622	0.809	0.759997900063561	0.618	2.04063506306376	0.804	0.324	11	MAGEL2	
112	KY21:KY21.Chr1.1622	0.818	0.997597166383242	0.636	2.55231682847532	0.799	0.324	12	MAGEL2	
113	KY21:KY21.Chr1.1631	0.717	0.606368457523869	0.434	1.23476715146199	0.822	0.724	19	LSM12	
114	KY21:KY21.Chr1.164	0.751	0.588031439266067	0.502	1.66572700624113	0.775	0.39	8	LASP1	
115	KY21:KY21.Chr1.164	0.828	0.72574511149197	0.656	1.95883414450258	0.887	0.392	13	LASP1	
116	KY21:KY21.Chr1.1642	0.959	3.58485157386939	0.918	6.85347640900798	0.946	0.221	12	MYL1	Myl.f
117	KY21:KY21.Chr1.1644	0.953	3.13285358273692	0.906	6.26880479686489	0.936	0.202	12	MYL1	Myl.g
118	KY21:KY21.Chr1.1645	0.923	2.58021828210192	0.846	6.12489106633265	0.877	0.136	12	MYL1	Myl.h
119	KY21:KY21.Chr1.1669	0.748	0.818600224701096	0.496	6.12949704525155	0.504	0.011	15	UGGT2	
120	KY21:KY21.Chr1.1674	0.733	0.68356419198815	0.466	1.68889357827308	0.751	0.52	19	TMEM128	
121	KY21:KY21.Chr1.1682	0.739	0.400072982758093	0.478	0.795095610368912	0.987	0.766	16	CREB1	Creb1/Crem/Atf1 
122	KY21:KY21.Chr1.170	0.711	1.16823908724612	0.422	1.97450149245342	0.612	0.223	1	ZMYND10	
123	KY21:KY21.Chr1.170	0.73	1.36187256447751	0.46	2.27955349094313	0.642	0.229	3	ZMYND10	
124	KY21:KY21.Chr1.170	0.701	1.1195902401134	0.402	1.86977014191415	0.607	0.242	6	ZMYND10	
125	KY21:KY21.Chr1.1701	0.859	0.827794374712312	0.718	2.89401979172467	0.769	0.047	13	HAND2	Hand-r
126	KY21:KY21.Chr1.1703	0.711	0.873569384317226	0.422	1.37910283836098	0.981	0.963	11	SEC62	
127	KY21:KY21.Chr1.1703	0.731	0.59374498588558	0.462	0.946078556598648	0.984	0.963	15	SEC62	
128	KY21:KY21.Chr1.1705	0.707	0.503329183437299	0.414	1.80529482027807	0.581	0.17	16	PLG	
129	KY21:KY21.Chr1.1714	0.706	0.582230661504556	0.412	1.11509909244865	0.845	0.492	1	MAP1A	
130	KY21:KY21.Chr1.1714	0.709	0.454261664133199	0.418	0.876941456515662	0.886	0.494	2	MAP1A	
131	KY21:KY21.Chr1.1714	0.736	0.661038840563866	0.472	1.25156083474638	0.856	0.499	3	MAP1A	
132	KY21:KY21.Chr1.1714	0.759	0.518240468323618	0.518	0.98132292092015	0.967	0.517	16	MAP1A	
133	KY21:KY21.Chr1.1715	0.716	0.583830554294047	0.432	3.25845358977835	0.519	0.122	5	CA2	
134	KY21:KY21.Chr1.1716	0.712	0.308489236021103	0.424	1.01420482709381	0.812	0.423	13	CDK2	
135	KY21:KY21.Chr1.1717	0.716	0.556376336122998	0.432	1.37538216299475	0.765	0.503	19	HAT1	
136	KY21:KY21.Chr1.1731	0.783	0.744123566404458	0.566	1.25289794355869	0.979	0.65	1	LIM2	
137	KY21:KY21.Chr1.1731	0.737	0.486154827039194	0.474	0.826091373355811	0.979	0.656	2	LIM2	
138	KY21:KY21.Chr1.1731	0.791	0.755373495736946	0.582	1.26693148953348	0.958	0.66	3	LIM2	
139	KY21:KY21.Chr1.1731	0.768	0.560465723953333	0.536	0.94158234079082	0.999	0.677	16	LIM2	
140	KY21:KY21.Chr1.1743	0.713	0.548379364086274	0.426	2.15694208540604	0.576	0.183	11	CLCA2	
141	KY21:KY21.Chr1.1745	0.93	2.48783993320798	0.86	6.13653831292278	0.888	0.124	12	ACTA1	Acta.a
142	KY21:KY21.Chr1.1750	0.963	2.07133668549642	0.926	3.83793756560048	0.99	0.28	11	JMJD6	
143	KY21:KY21.Chr1.1750	0.928	1.53987525668817	0.856	2.87626571524202	0.973	0.284	14	JMJD6	
144	KY21:KY21.Chr1.1750	0.866	1.14949381118226	0.732	2.2044199929628	0.9	0.287	15	JMJD6	
145	KY21:KY21.Chr1.1750	0.952	2.02151979631249	0.904	3.60807545442764	0.977	0.297	17	JMJD6	
146	KY21:KY21.Chr1.1754	0.705	0.536062392458922	0.41	1.76891125418598	0.641	0.354	19	NSMCE4A	
147	KY21:KY21.Chr1.1762	0.76	0.707503407420068	0.52	1.36295802774249	0.886	0.718	19	EHD3	
148	KY21:KY21.Chr1.1764	0.72	0.480595290261097	0.44	0.839830993346201	0.964	0.844	8	YRDC	
149	KY21:KY21.Chr1.1764	0.86	0.763223042146268	0.72	1.30475694697216	0.993	0.845	13	YRDC	
150	KY21:KY21.Chr1.1764	0.726	0.410924259672966	0.452	0.720593084925901	0.952	0.847	14	YRDC	
151	KY21:KY21.Chr1.1774	0.928	1.75160798673146	0.856	3.08721813944467	0.979	0.486	11	VCAN	
152	KY21:KY21.Chr1.1774	0.94	1.85308660592068	0.88	3.24005110862334	0.978	0.489	14	VCAN	
153	KY21:KY21.Chr1.1774	0.754	0.535612396779646	0.508	1.02358447258504	0.843	0.494	15	VCAN	
154	KY21:KY21.Chr1.1774	0.864	1.70948687139029	0.728	2.95353289164834	0.892	0.499	17	VCAN	
155	KY21:KY21.Chr1.1779	0.776	0.437385905942902	0.552	1.34331669754251	0.882	0.332	16	GRHL1	
156	KY21:KY21.Chr1.1798	0.897	1.40811389254686	0.794	2.86240091957415	0.939	0.462	5	CASZ1	Ci-ZF241 / Ci-ZF306
157	KY21:KY21.Chr1.1798	0.824	0.909708825742012	0.648	1.86185601208656	0.894	0.482	12	CASZ1	Ci-ZF241 / Ci-ZF306
158	KY21:KY21.Chr1.181	0.719	0.641288510673104	0.438	1.58126583459046	0.747	0.456	19	CLNS1A	
159	KY21:KY21.Chr1.1843	0.967	2.32937055449094	0.934	6.30632055755219	0.947	0.086	12	RUSC1	
160	KY21:KY21.Chr1.1843	0.713	0.845496138802338	0.426	2.26240568596118	0.525	0.118	20	RUSC1	
161	KY21:KY21.Chr1.185	0.709	0.58794939980909	0.418	2.50542505071321	0.56	0.221	12	AMOTL1	
162	KY21:KY21.Chr1.1859	0.721	0.666748090566102	0.442	2.85284005655001	0.573	0.199	19	EIF4E3	
163	KY21:KY21.Chr1.1862	0.758	0.600524831262825	0.516	1.50505029572186	0.814	0.362	1	FUT6	
164	KY21:KY21.Chr1.1862	0.738	0.629515632152091	0.476	1.55173725537222	0.765	0.377	3	FUT6	
165	KY21:KY21.Chr1.1862	0.736	0.331281947482212	0.472	0.852453423827066	0.915	0.395	16	FUT6	
166	KY21:KY21.Chr1.1863	0.796	0.709212313098555	0.592	1.2124305653147	0.988	0.573	1	FUT7	
167	KY21:KY21.Chr1.1863	0.731	0.480171226001115	0.462	0.828271631753998	0.989	0.58	2	FUT7	
168	KY21:KY21.Chr1.1863	0.825	0.826255605561918	0.65	1.40052496846738	0.974	0.584	3	FUT7	
169	KY21:KY21.Chr1.1863	0.724	0.532369000601524	0.448	0.912447194497309	0.948	0.595	6	FUT7	
170	KY21:KY21.Chr1.1863	0.754	0.507227189728362	0.508	0.867058337112304	0.999	0.607	16	FUT7	
171	KY21:KY21.Chr1.1864	0.895	1.42686241646248	0.79	3.06765959879653	0.905	0.219	4	FUT6	
172	KY21:KY21.Chr1.1864	0.843	1.33776197016085	0.686	2.83387863921307	0.83	0.234	5	FUT6	
173	KY21:KY21.Chr1.1869	0.784	0.791176594306751	0.568	1.71248328197078	0.851	0.562	19	POLD3	
174	KY21:KY21.Chr1.1871	0.709	0.458296132091732	0.418	1.27112199341107	0.732	0.33	1	SOX14	Sox14/15/21
175	KY21:KY21.Chr1.1871	0.723	0.494519554769528	0.446	1.34884535003957	0.753	0.335	2	SOX14	Sox14/15/21
176	KY21:KY21.Chr1.1871	0.793	0.558028581520717	0.586	1.44522543731855	0.91	0.357	16	SOX14	Sox14/15/21
177	KY21:KY21.Chr1.188	0.757	0.639016911113703	0.514	2.3797258679395	0.659	0.171	14	EPHA4	Eph.a
178	KY21:KY21.Chr1.1886	0.719	0.375091183619111	0.438	1.02494064063971	0.856	0.52	13	NUDT21	
179	KY21:KY21.Chr1.1889	0.725	0.65190457522671	0.45	1.74362602650506	0.737	0.464	19	PSMC3IP	
180	KY21:KY21.Chr1.1894	0.749	0.759710128640745	0.498	1.95556403127446	0.758	0.454	19	UQCC2	
181	KY21:KY21.Chr1.1898	0.744	0.540997402228693	0.488	2.78467453527987	0.611	0.165	13	MMEL1	
182	KY21:KY21.Chr1.1899	0.925	1.93372000755874	0.85	4.19168114949003	0.907	0.097	11	AKR1C2	
183	KY21:KY21.Chr1.1899	0.846	0.995953601614549	0.692	2.29644775647902	0.814	0.105	14	AKR1C2	
184	KY21:KY21.Chr1.1899	0.862	1.41839167501253	0.724	3.10576582676905	0.814	0.105	15	AKR1C2	
185	KY21:KY21.Chr1.1899	0.892	1.57093520900486	0.784	3.28777520570399	0.872	0.117	17	AKR1C2	
186	KY21:KY21.Chr1.1918	0.722	0.623361523214718	0.444	2.38638565395795	0.612	0.244	19	FAM13A	
187	KY21:KY21.Chr1.1920	0.718	0.58431714244437	0.436	1.26182232131857	0.824	0.682	12	REEP2	
188	KY21:KY21.Chr1.1934	0.728	0.557424217460972	0.456	1.06400744232221	0.947	0.802	18	DNAJB12	
189	KY21:KY21.Chr1.1942	0.733	0.679586575537857	0.466	1.61849358786456	0.769	0.525	19	NDC80	
190	KY21:KY21.Chr1.1955	0.745	0.332551111502536	0.49	1.07980081407179	0.846	0.312	16	CLDN19	
191	KY21:KY21.Chr1.1958	0.745	0.432359716574945	0.49	1.96353044555067	0.652	0.177	13	PODN	
192	KY21:KY21.Chr1.1993	0.717	0.587312417361185	0.434	1.66489428845284	0.583	0.136	16	SLC22A16	
193	KY21:KY21.Chr1.20	0.796	1.30153949330576	0.592	5.03081361164744	0.648	0.119	19	TENM3 / HEG1	
194	KY21:KY21.Chr1.2003	0.758	0.921973680591835	0.516	4.38067900602406	0.556	0.054	17	GLIPR1	
195	KY21:KY21.Chr1.2004	0.786	0.860343471351754	0.572	1.85203038137055	0.866	0.469	13	EIF4EBP1	
196	KY21:KY21.Chr1.2007	0.71	0.271875644633021	0.42	1.01455637224897	0.739	0.297	16	KY21:KY21.Chr1.2007	
197	KY21:KY21.Chr1.2012	0.725	0.539040438703868	0.45	0.817908623764341	0.962	0.563	1	TFF1	
198	KY21:KY21.Chr1.2012	0.774	0.875429408492576	0.548	1.32192818091479	0.955	0.572	2	TFF1	
199	KY21:KY21.Chr1.2012	0.759	0.660697395496942	0.518	1.00002119120587	0.98	0.571	3	TFF1	
200	KY21:KY21.Chr1.2012	0.744	0.796241436968272	0.488	1.20168814734491	0.911	0.586	6	TFF1	
201	KY21:KY21.Chr1.2012	0.703	0.486615435695492	0.406	0.737650618325176	0.947	0.588	7	TFF1	
202	KY21:KY21.Chr1.2012	0.849	1.15759286543953	0.698	1.73515381062448	0.999	0.595	16	TFF1	
203	KY21:KY21.Chr1.2015	0.735	0.997650795685123	0.47	4.30038107875455	0.508	0.053	11	TUBA1C	
204	KY21:KY21.Chr1.2017	0.756	0.724752501432978	0.512	1.13690547147258	0.946	0.491	1	BRD8	
205	KY21:KY21.Chr1.2017	0.786	0.899817888149687	0.572	1.40482891297465	0.938	0.501	2	BRD8	
206	KY21:KY21.Chr1.2017	0.79	0.83619347011625	0.58	1.30644636184504	0.966	0.5	3	BRD8	
207	KY21:KY21.Chr1.2017	0.723	0.646840491871802	0.446	1.01210619013032	0.915	0.521	7	BRD8	
208	KY21:KY21.Chr1.2017	0.808	0.858048912826036	0.616	1.33222844883215	0.997	0.527	16	BRD8	
209	KY21:KY21.Chr1.2019	0.864	1.99772342845621	0.728	5.81855654720805	0.765	0.094	12	ACTC1	
210	KY21:KY21.Chr1.2020	0.9	2.0987596405337	0.8	5.92457374016672	0.831	0.093	12	ACTC1	Acta.h
211	KY21:KY21.Chr1.2021	0.919	2.35573083531275	0.838	5.85073865006502	0.874	0.127	12	ACTA1	Acta.i
212	KY21:KY21.Chr1.2043	0.835	1.42905400263514	0.67	4.53028318168204	0.736	0.156	11	FOXRED2	
213	KY21:KY21.Chr1.2045	0.874	1.96777374267644	0.748	5.26742310051422	0.802	0.158	11	FOXRED2	
214	KY21:KY21.Chr1.2058	0.702	0.511352897657192	0.404	1.63216438800014	0.68	0.395	11	STAT5A	STAT-b
215	KY21:KY21.Chr1.2060	0.742	0.545060309804571	0.484	0.882384211160477	0.995	0.847	2	ERGIC1	
216	KY21:KY21.Chr1.2060	0.735	0.504682598850137	0.47	0.817951545832994	0.975	0.849	3	ERGIC1	
217	KY21:KY21.Chr1.2060	0.709	0.480363826360417	0.418	0.777977135905366	0.978	0.852	6	ERGIC1	
218	KY21:KY21.Chr1.2060	0.778	0.559051854108127	0.556	0.899814119526793	1	0.856	16	ERGIC1	
219	KY21:KY21.Chr1.2071	0.888	1.01571758706864	0.776	1.80370570640777	0.974	0.817	5	P4HA2	
220	KY21:KY21.Chr1.2071	0.716	0.373341253744091	0.432	0.69248998663704	0.947	0.822	8	P4HA2	
221	KY21:KY21.Chr1.2071	0.782	0.550661495439984	0.564	0.996703039012632	0.975	0.826	18	P4HA2	
222	KY21:KY21.Chr1.2071	0.759	0.518311564187953	0.518	0.94043569348554	0.957	0.828	20	P4HA2	
223	KY21:KY21.Chr1.2096	0.834	1.48865675699493	0.668	3.34002685940317	0.777	0.195	4	ZEB1	Ci-ZF266
224	KY21:KY21.Chr1.2096	0.88	1.45917849710429	0.76	2.93930790588259	0.88	0.235	18	ZEB1	Ci-ZF266
225	KY21:KY21.Chr1.211	0.836	1.14766976821915	0.672	3.09854029315595	0.791	0.262	4	CAPN9	
226	KY21:KY21.Chr1.211	0.826	1.17645967202021	0.652	2.79908396629818	0.807	0.3	18	CAPN9	
227	KY21:KY21.Chr1.211	0.768	1.0427448600532	0.536	2.51222296245065	0.71	0.306	20	CAPN9	
228	KY21:KY21.Chr1.2115	0.719	0.668843949450908	0.438	1.68463113423436	0.758	0.525	19	RNF25	
229	KY21:KY21.Chr1.2136	0.75	0.767511401361231	0.5	3.3044612314823	0.59	0.144	12	DYRK2	
230	KY21:KY21.Chr1.215	0.726	0.58515725980324	0.452	2.3906854429846	0.589	0.17	18	KY21:KY21.Chr1.215	
231	KY21:KY21.Chr1.2166	0.758	0.757758346474056	0.516	1.51285873427913	0.819	0.742	19	DCAF7	
