"","gene","human.homolog","ciona.name"
"77","KY21:KY21.Chr1.1067","SLC6A1",""
"78","KY21:KY21.Chr1.1068","THAP9",""
"79","KY21:KY21.Chr1.1069","NYNRIN",""
"80","KY21:KY21.Chr1.107","WDR33",""
"81","KY21:KY21.Chr1.1070","LAMA4",""
"82","KY21:KY21.Chr1.1071","RPL8",""
"83","KY21:KY21.Chr1.1072","RPL8",""
"84","KY21:KY21.Chr1.1073","ZSWIM8",""
"85","KY21:KY21.Chr1.1074","SKI",""
"86","KY21:KY21.Chr1.1075","KLK8",""
"87","KY21:KY21.Chr1.1076","PITRM1",""
"88","KY21:KY21.Chr1.1077","TTC21B",""
"89","KY21:KY21.Chr1.1078","GRB2",""
"90","KY21:KY21.Chr1.1079","GRB2",""
"91","KY21:KY21.Chr1.108","CYB5D1",""
"92","KY21:KY21.Chr1.1080","KYNU",""
"93","KY21:KY21.Chr1.1081","B3GNT4",""
"94","KY21:KY21.Chr1.1082","GRB2",""
"95","KY21:KY21.Chr1.1083","RTL1",""
"96","KY21:KY21.Chr1.1084","KYNU",""
"97","KY21:KY21.Chr1.1085","DEPDC5",""
"98","KY21:KY21.Chr1.1086","SLC5A3",""
"99","KY21:KY21.Chr1.1087","SLC1A7",""
"100","KY21:KY21.Chr1.1088","SRPRB",""
"101","KY21:KY21.Chr1.1089","DCUN1D1",""
"102","KY21:KY21.Chr1.109","ENKUR",""
"103","KY21:KY21.Chr1.1090","SHANK2",""
"104","KY21:KY21.Chr1.1091","PTGS2",""
"105","KY21:KY21.Chr1.1092","SLC22A5",""
"106","KY21:KY21.Chr1.1093","ACAP2",""
"107","KY21:KY21.Chr1.1094","NYNRIN",""
"108","KY21:KY21.Chr1.1095","AMBRA1",""
"109","KY21:KY21.Chr1.1096","COPB2",""
"110","KY21:KY21.Chr1.1097","FAM72B",""
"111","KY21:KY21.Chr1.1098","FBXO24",""
"112","KY21:KY21.Chr1.1099","GRAMD1A",""
"113","KY21:KY21.Chr1.11","TFDP1","transcription factor Dp-1"
"114","KY21:KY21.Chr1.110","VAMP3 / VAMP2",""
"115","KY21:KY21.Chr1.1100","TCEA3",""
"116","KY21:KY21.Chr1.1101","NDUFA4",""
"117","KY21:KY21.Chr1.1102","NFE2L1",""
"118","KY21:KY21.Chr1.1103","COP1",""
"119","KY21:KY21.Chr1.1104","ERI1",""
"120","KY21:KY21.Chr1.1105","TMCO5B",""
"121","KY21:KY21.Chr1.1106","THAP1",""
"122","KY21:KY21.Chr1.1107","P2RX7",""
"123","KY21:KY21.Chr1.1108","TLX3","Tlx"
"124","KY21:KY21.Chr1.1109","NPHP4",""
"125","KY21:KY21.Chr1.111","PAQR8",""
"126","KY21:KY21.Chr1.1110","SLC35G1",""
"127","KY21:KY21.Chr1.1111","HBS1L",""
"128","KY21:KY21.Chr1.1112","KLHL21",""
"129","KY21:KY21.Chr1.1113","PIEZO1",""
"130","KY21:KY21.Chr1.1114","BICRA",""
"131","KY21:KY21.Chr1.1115","BPIFC",""
"132","KY21:KY21.Chr1.1116","EPHB4 / BPIFC",""
"133","KY21:KY21.Chr1.1117","BICD2",""
"134","KY21:KY21.Chr1.1118","NNAT",""
"135","KY21:KY21.Chr1.1119","MFGE8",""
"136","KY21:KY21.Chr1.112","PTPMT1",""
"137","KY21:KY21.Chr1.1120","MFGE8",""
"138","KY21:KY21.Chr1.1121","MCM4",""
"139","KY21:KY21.Chr1.1122","NINL",""
"140","KY21:KY21.Chr1.1123","GNB1L",""
"141","KY21:KY21.Chr1.1124","PUS7L",""
"142","KY21:KY21.Chr1.1125","CENPU",""
"143","KY21:KY21.Chr1.1126","ADAMTS9",""
"144","KY21:KY21.Chr1.1127","OR8D2",""
"145","KY21:KY21.Chr1.1128","PRKAR2A",""
"146","KY21:KY21.Chr1.1129","TENT4A",""
"147","KY21:KY21.Chr1.113","CIB1",""
"148","KY21:KY21.Chr1.1130","HSP90B1",""
"149","KY21:KY21.Chr1.1131","MORN5",""
"150","KY21:KY21.Chr1.1132","MMP24",""
"151","KY21:KY21.Chr1.1133","KANK1",""
"152","KY21:KY21.Chr1.1134","TMBIM4",""
"153","KY21:KY21.Chr1.1135","AGL",""
"154","KY21:KY21.Chr1.1136","JMJD6",""
"155","KY21:KY21.Chr1.1137","SYCE2",""
"156","KY21:KY21.Chr1.1138","TEKT2",""
"157","KY21:KY21.Chr1.1139","GMNN",""
"158","KY21:KY21.Chr1.114","PBDC1",""
"159","KY21:KY21.Chr1.1140","VPS28",""
"160","KY21:KY21.Chr1.1141","HTRA1",""
"161","KY21:KY21.Chr1.1142","CTSC",""
"162","KY21:KY21.Chr1.1143","TTPAL",""
"163","KY21:KY21.Chr1.1144","C12orf4",""
"164","KY21:KY21.Chr1.1145","CCDC157",""
"165","KY21:KY21.Chr1.1146","UVSSA",""
"166","KY21:KY21.Chr1.1147","CIB1",""
"167","KY21:KY21.Chr1.1148","XPNPEP1",""
"168","KY21:KY21.Chr1.1149","BDH1",""
"169","KY21:KY21.Chr1.115","H2BC15",""
"170","KY21:KY21.Chr1.1150","KIF3B",""
"171","KY21:KY21.Chr1.1151","ZNF830",""
"172","KY21:KY21.Chr1.1152","DNLZ",""
"173","KY21:KY21.Chr1.1153","CMYA5 / CYB5R2",""
"174","KY21:KY21.Chr1.1154","SELL",""
"175","KY21:KY21.Chr1.1155","OR1Q1",""
"176","KY21:KY21.Chr1.1156","CASK",""
"177","KY21:KY21.Chr1.1157","GDPD4",""
"178","KY21:KY21.Chr1.1158","KY21:KY21.Chr1.1158",""
"179","KY21:KY21.Chr1.1159","ACP5",""
"180","KY21:KY21.Chr1.116","RAB23",""
"181","KY21:KY21.Chr1.1160","DDX19B",""
"182","KY21:KY21.Chr1.1161","SMG1",""
"183","KY21:KY21.Chr1.1162","EXOC4",""
"184","KY21:KY21.Chr1.1163","TCEA1",""
"185","KY21:KY21.Chr1.1164","HSPA8",""
"186","KY21:KY21.Chr1.1165","TMPRSS9",""
"187","KY21:KY21.Chr1.1166","C6orf62",""
"188","KY21:KY21.Chr1.1167","NR2C2AP",""
"189","KY21:KY21.Chr1.1168","MRRF",""
"190","KY21:KY21.Chr1.1169","ALKBH3",""
"191","KY21:KY21.Chr1.117","BARD1",""
"192","KY21:KY21.Chr1.1170","SCRIB",""
"193","KY21:KY21.Chr1.1171","CABP4",""
"194","KY21:KY21.Chr1.1172","MFAP1",""
"195","KY21:KY21.Chr1.1173","IRAK1",""
"196","KY21:KY21.Chr1.1174","DLD",""
"197","KY21:KY21.Chr1.1175","MRPL52",""
"198","KY21:KY21.Chr1.1176","RAB7A",""
"199","KY21:KY21.Chr1.1177","USP15",""
"200","KY21:KY21.Chr1.1178","PSMB2",""
"201","KY21:KY21.Chr1.1179","SRMS",""
"202","KY21:KY21.Chr1.118","NXPE2",""
"203","KY21:KY21.Chr1.1180","MMAB",""
"204","KY21:KY21.Chr1.1181","SLC25A11",""
"205","KY21:KY21.Chr1.1182","PIK3R3",""
"206","KY21:KY21.Chr1.1183","NAA30",""
"207","KY21:KY21.Chr1.1184","NAA30",""
"208","KY21:KY21.Chr1.1185","NAA30",""
"209","KY21:KY21.Chr1.1186","NAA30",""
"210","KY21:KY21.Chr1.1187","GREB1L / GREB1",""
"211","KY21:KY21.Chr1.1188","HMCN2",""
"212","KY21:KY21.Chr1.1189","NSUN5",""
"213","KY21:KY21.Chr1.119","LRP8 / MGAT4A",""
"214","KY21:KY21.Chr1.1190","GRID1",""
"215","KY21:KY21.Chr1.1191","KIAA1107",""
"216","KY21:KY21.Chr1.1192","MYT1L","Myt1"
"217","KY21:KY21.Chr1.1193","MUC13",""
"218","KY21:KY21.Chr1.1194","BRWD3 / SLC5A7",""
"219","KY21:KY21.Chr1.1195","RAB35",""
"220","KY21:KY21.Chr1.1196","ANKAR",""
"221","KY21:KY21.Chr1.1197","PARVA",""
"222","KY21:KY21.Chr1.1198","TP53I3",""
"223","KY21:KY21.Chr1.1199","SNX33",""
"224","KY21:KY21.Chr1.12","GCC1",""
"225","KY21:KY21.Chr1.120","ANKRD17",""
"226","KY21:KY21.Chr1.1200","MED4",""
"227","KY21:KY21.Chr1.1201","NUP98",""
"228","KY21:KY21.Chr1.1202","BHMT",""
"229","KY21:KY21.Chr1.1203","CNR2",""
"230","KY21:KY21.Chr1.1204","ANXA2R",""
"231","KY21:KY21.Chr1.1205","SAXO1",""
"232","KY21:KY21.Chr1.1206","KLRD1",""
"233","KY21:KY21.Chr1.1207","CFAP97D1",""
"234","KY21:KY21.Chr1.1208","OPRM1",""
"235","KY21:KY21.Chr1.1209","YPEL5",""
"236","KY21:KY21.Chr1.121","PEX13",""
"237","KY21:KY21.Chr1.1210","CACNA2D1",""
"238","KY21:KY21.Chr1.1211","TSPAN7",""
"239","KY21:KY21.Chr1.1212","IPO5",""
"240","KY21:KY21.Chr1.1213","COL4A6",""
"241","KY21:KY21.Chr1.1214","R3HDM2",""
"242","KY21:KY21.Chr1.1215","COL4A6",""
"243","KY21:KY21.Chr1.1216","PGAP2",""
"244","KY21:KY21.Chr1.1217","IRAG1",""
"245","KY21:KY21.Chr1.1218","UNC5A",""
"246","KY21:KY21.Chr1.1219","ARMC10",""
"247","KY21:KY21.Chr1.122","CRYAB",""
"248","KY21:KY21.Chr1.1220","SEMA5A",""
"249","KY21:KY21.Chr1.1221","PSMD1",""
"250","KY21:KY21.Chr1.1222","HTR2A",""
"251","KY21:KY21.Chr1.1223","SEMA5A",""
"252","KY21:KY21.Chr1.1224","SEMA5A / ANOS1",""
"253","KY21:KY21.Chr1.1225","ANOS1",""
"254","KY21:KY21.Chr1.1226","UBA1",""
"255","KY21:KY21.Chr1.1227","CELSR1",""
"256","KY21:KY21.Chr1.1228","FAM110B",""
"257","KY21:KY21.Chr1.1229","RTCA",""
"258","KY21:KY21.Chr1.123","PIEZO2",""
"259","KY21:KY21.Chr1.1230","THAP7",""
"260","KY21:KY21.Chr1.1231","GTF3A","Ci-ZF068"
"261","KY21:KY21.Chr1.1232","CWC15",""
"262","KY21:KY21.Chr1.1233","RRAGA",""
"263","KY21:KY21.Chr1.1234","CYP3A43",""
"264","KY21:KY21.Chr1.1235","PMVK",""
"265","KY21:KY21.Chr1.1236","POLR3H",""
"266","KY21:KY21.Chr1.1237","RASA3",""
"267","KY21:KY21.Chr1.1238","DUXA","Prdtun2"
"268","KY21:KY21.Chr1.1239","DYM",""
"269","KY21:KY21.Chr1.124","MPHOSPH10",""
"270","KY21:KY21.Chr1.1240","TMEM158",""
"271","KY21:KY21.Chr1.1241","ABCF3",""
"272","KY21:KY21.Chr1.1242","CHSY3",""
"273","KY21:KY21.Chr1.1243","LIM2",""
"274","KY21:KY21.Chr1.1244","ECEL1",""
"275","KY21:KY21.Chr1.1245","NOTCH1",""
"276","KY21:KY21.Chr1.1246","SLC17A8",""
"277","KY21:KY21.Chr1.1247","TRAPPC11",""
"278","KY21:KY21.Chr1.1248","SLC19A3",""
"279","KY21:KY21.Chr1.1249","SLC19A2",""
"280","KY21:KY21.Chr1.125","ANKAR",""
"281","KY21:KY21.Chr1.1250","TTC34",""
"282","KY21:KY21.Chr1.1251","PLOD3",""
"283","KY21:KY21.Chr1.1252","ANKRD13D",""
"284","KY21:KY21.Chr1.1253","PDYN",""
"285","KY21:KY21.Chr1.1254","LIM2",""
"286","KY21:KY21.Chr1.1255","PTPRJ",""
"287","KY21:KY21.Chr1.1256","SMYD1",""
"288","KY21:KY21.Chr1.1257","LAMA2",""
"289","KY21:KY21.Chr1.1258","AGXT2",""
"290","KY21:KY21.Chr1.1259","OTUD4",""
"291","KY21:KY21.Chr1.126","TDH",""
"292","KY21:KY21.Chr1.1260","POLR1A",""
"293","KY21:KY21.Chr1.1261","MAP9",""
"294","KY21:KY21.Chr1.1262","ODC1",""
"295","KY21:KY21.Chr1.1263","INO80",""
"296","KY21:KY21.Chr1.1264","SNAP47",""
"297","KY21:KY21.Chr1.1265","TINAG",""
"298","KY21:KY21.Chr1.1266","BMPR1A",""
"299","KY21:KY21.Chr1.1267","COL6A6",""
"300","KY21:KY21.Chr1.1268","COL21A1",""
"301","KY21:KY21.Chr1.1269","FAM110A",""
"302","KY21:KY21.Chr1.127","CNOT3",""
"303","KY21:KY21.Chr1.1270","CPB1",""
"304","KY21:KY21.Chr1.1271","CSNK1G1",""
"305","KY21:KY21.Chr1.1272","CEACAM5",""
"306","KY21:KY21.Chr1.1273","ADAM8",""
"307","KY21:KY21.Chr1.1274","APOBEC2",""
"308","KY21:KY21.Chr1.1275","PTBP1",""
"309","KY21:KY21.Chr1.1276","RBM25",""
"310","KY21:KY21.Chr1.1277","HMCN1",""
"311","KY21:KY21.Chr1.1278","HMCN1",""
"312","KY21:KY21.Chr1.1279","SLC7A9",""
"313","KY21:KY21.Chr1.128","NIN",""
"314","KY21:KY21.Chr1.1280","SNX31",""
"315","KY21:KY21.Chr1.1281","DDI2",""
"316","KY21:KY21.Chr1.1282","OAS2",""
"317","KY21:KY21.Chr1.1283","ARRDC3",""
"318","KY21:KY21.Chr1.1284","SLC7A9",""
"319","KY21:KY21.Chr1.1285","SLC7A9",""
"320","KY21:KY21.Chr1.1286","TDRD5",""
"321","KY21:KY21.Chr1.1287","GCC2",""
"322","KY21:KY21.Chr1.1288","USP8",""
"323","KY21:KY21.Chr1.1289","MSL2",""
"324","KY21:KY21.Chr1.129","IFT88",""
"325","KY21:KY21.Chr1.1290","MRPS22",""
"326","KY21:KY21.Chr1.1291","ENPP7",""
"327","KY21:KY21.Chr1.1292","DCDC1",""
"328","KY21:KY21.Chr1.1293","TGFB1",""
"329","KY21:KY21.Chr1.1294","TEX52",""
"330","KY21:KY21.Chr1.1295","IFIH1",""
"331","KY21:KY21.Chr1.1296","CUEDC1",""
"332","KY21:KY21.Chr1.1297","DPY19L1",""
"333","KY21:KY21.Chr1.1298","FBLN1",""
"334","KY21:KY21.Chr1.1299","ANKRD26",""
"335","KY21:KY21.Chr1.13","KIAA0754",""
"336","KY21:KY21.Chr1.130","ARFGEF2",""
"337","KY21:KY21.Chr1.1300","TMEM209",""
"338","KY21:KY21.Chr1.1301","TPP2",""
"339","KY21:KY21.Chr1.1302","FBXO36",""
"340","KY21:KY21.Chr1.1303","VGLL4",""
"341","KY21:KY21.Chr1.1304","TTN",""
"342","KY21:KY21.Chr1.1305","MARVELD3",""
"343","KY21:KY21.Chr1.1306","FAM185A",""
"344","KY21:KY21.Chr1.1307","LAMTOR5",""
"345","KY21:KY21.Chr1.1308","UXT",""
"346","KY21:KY21.Chr1.1309","MRPL34",""
"347","KY21:KY21.Chr1.131","SLC10A1",""
"348","KY21:KY21.Chr1.1310","PSMA3",""
"349","KY21:KY21.Chr1.1311","CD209",""
"350","KY21:KY21.Chr1.1312","NCK2 / NCK1",""
"351","KY21:KY21.Chr1.1313","TMCO6",""
"352","KY21:KY21.Chr1.1314","CHEK1",""
"353","KY21:KY21.Chr1.1315","ABHD5",""
"354","KY21:KY21.Chr1.1316","HS6ST1",""
"355","KY21:KY21.Chr1.1317","AP2B1",""
"356","KY21:KY21.Chr1.1318","EPHA4",""
"357","KY21:KY21.Chr1.1319","CHST14",""
"358","KY21:KY21.Chr1.132","SLC10A1",""
"359","KY21:KY21.Chr1.1320","PIM3",""
"360","KY21:KY21.Chr1.1321","MYCBP2",""
"361","KY21:KY21.Chr1.1322","PRSS16",""
"362","KY21:KY21.Chr1.1323","EFCAB5",""
"363","KY21:KY21.Chr1.1324","SLC43A3",""
"364","KY21:KY21.Chr1.1325","SLC43A3",""
"365","KY21:KY21.Chr1.1326","LYPD1",""
"366","KY21:KY21.Chr1.1327","KY21:KY21.Chr1.1327",""
"367","KY21:KY21.Chr1.1328","KY21:KY21.Chr1.1328",""
"368","KY21:KY21.Chr1.1329","SIGMAR1",""
"369","KY21:KY21.Chr1.133","RGS22",""
"370","KY21:KY21.Chr1.1330","CFAP300",""
"371","KY21:KY21.Chr1.1331","MYO10",""
"372","KY21:KY21.Chr1.1332","OSBPL8",""
"373","KY21:KY21.Chr1.1333","TM2D3",""
"374","KY21:KY21.Chr1.1334","SRR",""
"375","KY21:KY21.Chr1.1335","RXFP1",""
"376","KY21:KY21.Chr1.1336","HCFC1",""
"377","KY21:KY21.Chr1.1337","ZIC3","Zic-r.a"
"378","KY21:KY21.Chr1.1338","TRIP12",""
"379","KY21:KY21.Chr1.1339","TMED6",""
"380","KY21:KY21.Chr1.134","DBX2",""
"381","KY21:KY21.Chr1.1340","TMPRSS11B",""
"382","KY21:KY21.Chr1.1341","EZH2",""
"383","KY21:KY21.Chr1.1342","DUSP1","DUSP1.2.4.5"
"384","KY21:KY21.Chr1.1343","ARFGEF1",""
"385","KY21:KY21.Chr1.1344","FUT6",""
"386","KY21:KY21.Chr1.1345","DUSP14",""
"387","KY21:KY21.Chr1.1346","GRIK2",""
"388","KY21:KY21.Chr1.1347","SNX33",""
"389","KY21:KY21.Chr1.1348","PRKG1 / PRKG2",""
"390","KY21:KY21.Chr1.1349","CDC5L",""
"391","KY21:KY21.Chr1.135","NPY5R",""
"392","KY21:KY21.Chr1.1350","ATP5ME",""
"393","KY21:KY21.Chr1.1351","MTF1","Ci-ZF164"
"394","KY21:KY21.Chr1.1352","MEGF6 / MEGF10",""
"395","KY21:KY21.Chr1.1353","SENP6",""
"396","KY21:KY21.Chr1.1354","KY21:KY21.Chr1.1354",""
"397","KY21:KY21.Chr1.1355","RUBCNL",""
"398","KY21:KY21.Chr1.1356","XPNPEP1",""
"399","KY21:KY21.Chr1.1357","MERTK",""
"400","KY21:KY21.Chr1.1358","SPG21",""
"401","KY21:KY21.Chr1.1359","CWC27",""
"402","KY21:KY21.Chr1.136","MYB",""
"403","KY21:KY21.Chr1.1360","CFAP46",""
"404","KY21:KY21.Chr1.1361","SHQ1",""
"405","KY21:KY21.Chr1.1362","RPL4",""
"406","KY21:KY21.Chr1.1363","FAM189A1",""
"407","KY21:KY21.Chr1.1364","SUN1",""
"408","KY21:KY21.Chr1.1365","FUNDC1",""
"409","KY21:KY21.Chr1.1366","ZNF445",""
"410","KY21:KY21.Chr1.1367","KDM6A",""
"411","KY21:KY21.Chr1.1368","FSIP2",""
"412","KY21:KY21.Chr1.1369","POLR2D",""
"413","KY21:KY21.Chr1.137","FSTL5",""
"414","KY21:KY21.Chr1.1370","MRGPRX3",""
"415","KY21:KY21.Chr1.1371","SI",""
"416","KY21:KY21.Chr1.1372","SLC17A3",""
"417","KY21:KY21.Chr1.1373","PKD2L1",""
"418","KY21:KY21.Chr1.1374","KY21:KY21.Chr1.1374",""
"419","KY21:KY21.Chr1.1375","ADGRG4",""
"420","KY21:KY21.Chr1.1376","BIRC7",""
"421","KY21:KY21.Chr1.1377","MIB2",""
"422","KY21:KY21.Chr1.1378","MIB2",""
"423","KY21:KY21.Chr1.1379","OIT3",""
"424","KY21:KY21.Chr1.138","ASRGL1",""
"425","KY21:KY21.Chr1.1380","UMOD",""
"426","KY21:KY21.Chr1.1381","PARL",""
"427","KY21:KY21.Chr1.1382","CCDC3",""
"428","KY21:KY21.Chr1.1383","PLA2G4C",""
"429","KY21:KY21.Chr1.1384","KIAA0100",""
"430","KY21:KY21.Chr1.1385","LAP3",""
"431","KY21:KY21.Chr1.1386","PIN4",""
"432","KY21:KY21.Chr1.1387","XXYLT1",""
"433","KY21:KY21.Chr1.1388","TPRA1",""
"434","KY21:KY21.Chr1.1389","KCNRG / MAMDC2",""
"435","KY21:KY21.Chr1.139","COQ3 / TSC1",""
"436","KY21:KY21.Chr1.1390","TSPYL5",""
"437","KY21:KY21.Chr1.1391","KY21:KY21.Chr1.1391",""
"438","KY21:KY21.Chr1.1392","RP1L1",""
"439","KY21:KY21.Chr1.1393","A4GNT",""
"440","KY21:KY21.Chr1.1394","A4GALT",""
"441","KY21:KY21.Chr1.1395","KY21:KY21.Chr1.1395",""
"442","KY21:KY21.Chr1.1396","ZBTB7C",""
"443","KY21:KY21.Chr1.1397","MDH1B",""
"444","KY21:KY21.Chr1.1398","PTGES3L",""
"445","KY21:KY21.Chr1.1399","ZNF423",""
"446","KY21:KY21.Chr1.14","UBR5",""
"447","KY21:KY21.Chr1.140","COMT",""
"448","KY21:KY21.Chr1.1400","TTLL8",""
"449","KY21:KY21.Chr1.1401","GNL3L",""
"450","KY21:KY21.Chr1.1402","THSD7A",""
"451","KY21:KY21.Chr1.1403","LATS2",""
"452","KY21:KY21.Chr1.1404","GUCY2F",""
"453","KY21:KY21.Chr1.1405","TRIM2",""
"454","KY21:KY21.Chr1.1406","CHDH",""
"455","KY21:KY21.Chr1.1407","CPTP",""
"456","KY21:KY21.Chr1.1408","KLC4",""
"457","KY21:KY21.Chr1.1409","SAP130",""
"458","KY21:KY21.Chr1.141","PDZD8",""
"459","KY21:KY21.Chr1.1410","SCHIP1",""
"460","KY21:KY21.Chr1.1411","PTPN11",""
"461","KY21:KY21.Chr1.1412","SLC13A3",""
"462","KY21:KY21.Chr1.1413","TAF2",""
"463","KY21:KY21.Chr1.1414","SGPP2",""
"464","KY21:KY21.Chr1.1415","ARF6",""
"465","KY21:KY21.Chr1.1416","ZNF705B","Ci-ZF027"
"466","KY21:KY21.Chr1.1417","ARAF / BRAF","Raf1"
"467","KY21:KY21.Chr1.1418","TMPRSS9",""
"468","KY21:KY21.Chr1.1419","KDM1A",""
"469","KY21:KY21.Chr1.142","NUP50",""
"470","KY21:KY21.Chr1.1420","MMEL1",""
"471","KY21:KY21.Chr1.1421","FBF1",""
"472","KY21:KY21.Chr1.1422","POLE3","Ci-ZF152"
"473","KY21:KY21.Chr1.1423","RPUSD4",""
"474","KY21:KY21.Chr1.1424","VWF",""
"475","KY21:KY21.Chr1.1425","OTOGL",""
"476","KY21:KY21.Chr1.1426","ACSF2",""
"477","KY21:KY21.Chr1.1427","PPFIA1",""
"478","KY21:KY21.Chr1.1428","ALMS1",""
"479","KY21:KY21.Chr1.1429","B3GALT1",""
"480","KY21:KY21.Chr1.143","PHF21A",""
"481","KY21:KY21.Chr1.1430","TMEM241",""
"482","KY21:KY21.Chr1.1431","CYB5R3",""
"483","KY21:KY21.Chr1.1432","NF2",""
"484","KY21:KY21.Chr1.1433","RBKS",""
"485","KY21:KY21.Chr1.1434","EXD2",""
"486","KY21:KY21.Chr1.1435","TRIT1",""
"487","KY21:KY21.Chr1.1436","SLC9A6 / EEF2K",""
"488","KY21:KY21.Chr1.1437","FURIN",""
"489","KY21:KY21.Chr1.1438","C1QTNF3",""
"490","KY21:KY21.Chr1.1439","ADCY6",""
"491","KY21:KY21.Chr1.144","TSSK1B",""
"492","KY21:KY21.Chr1.1440","FURIN",""
"493","KY21:KY21.Chr1.1441","ZNF420","Ci-ZF048"
"494","KY21:KY21.Chr1.1442","ACP6",""
"495","KY21:KY21.Chr1.1443","INTS11",""
"496","KY21:KY21.Chr1.1444","SLC6A8",""
"497","KY21:KY21.Chr1.1445","ADPRHL1",""
"498","KY21:KY21.Chr1.1446","HSD17B6",""
"499","KY21:KY21.Chr1.1447","BMPR2",""
"500","KY21:KY21.Chr1.1448","NAALADL2",""
"501","KY21:KY21.Chr1.1449","FBXL7",""
"502","KY21:KY21.Chr1.145","SSPOP",""
"503","KY21:KY21.Chr1.1450","ZNF16 / MYNN",""
"504","KY21:KY21.Chr1.1451","B3GALNT1",""
"505","KY21:KY21.Chr1.1452","TDRD9",""
"506","KY21:KY21.Chr1.1453","DEFB129",""
"507","KY21:KY21.Chr1.1454","FNTA",""
"508","KY21:KY21.Chr1.1455","ECPAS",""
